Classement des circonscriptions,Liste H/F EM,LFI,LR,FN,PS,Total Femmes jusqu’alors - EM,LFI,LR,FN,PS,Proportion de femmes jusqu’alors - EM,LFI,LR,FN,PS
1,H,H,H,H,F,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2,H,H,F,H,F,0,0,1,0,1,0.0000,0.0000,0.5000,0.0000,0.5000
3,H,H,H,H,F,0,0,1,0,2,0.0000,0.0000,0.3333,0.0000,0.6667
4,F,H,H,H,H,1,0,1,0,2,0.2500,0.0000,0.2500,0.0000,0.5000
5,H,H,H,H,F,1,0,1,0,3,0.2000,0.0000,0.2000,0.0000,0.6000
6,F,H,H,H,F,2,0,1,0,4,0.3333,0.0000,0.1667,0.0000,0.6667
7,H,F,F,H,F,2,1,2,0,5,0.2857,0.1429,0.2857,0.0000,0.7143
8,F,H,H,F,H,3,1,2,1,5,0.3750,0.1250,0.2500,0.1250,0.6250
9,H,F,H,H,H,3,2,2,1,5,0.3333,0.2222,0.2222,0.1111,0.5556
10,H,F,H,F,H,3,3,2,2,5,0.3000,0.3000,0.2000,0.2000,0.5000
11,H,F,H,H,H,3,4,2,2,5,0.2727,0.3636,0.1818,0.1818,0.4545
12,F,F,H,H,H,4,5,2,2,5,0.3333,0.4167,0.1667,0.1667,0.4167
13,F,F,H,F,F,5,6,2,3,6,0.3846,0.4615,0.1538,0.2308,0.4615
14,F,H,H,H,F,6,6,2,3,7,0.4286,0.4286,0.1429,0.2143,0.5000
15,F,F,H,H,F,7,7,2,3,8,0.4667,0.4667,0.1333,0.2000,0.5333
16,H,H,H,F,H,7,7,2,4,8,0.4375,0.4375,0.1250,0.2500,0.5000
17,H,F,H,H,F,7,8,2,4,9,0.4118,0.4706,0.1176,0.2353,0.5294
18,H,H,H,F,H,7,8,2,5,9,0.3889,0.4444,0.1111,0.2778,0.5000
19,H,F,H,H,F,7,9,2,5,10,0.3684,0.4737,0.1053,0.2632,0.5263
20,F,H,H,F,H,8,9,2,6,10,0.4000,0.4500,0.1000,0.3000,0.5000
21,H,H,H,F,F,8,9,2,7,11,0.3810,0.4286,0.0952,0.3333,0.5238
22,H,H,H,H,F,8,9,2,7,12,0.3636,0.4091,0.0909,0.3182,0.5455
23,H,H,F,H,H,8,9,3,7,12,0.3478,0.3913,0.1304,0.3043,0.5217
24,H,F,H,F,H,8,10,3,8,12,0.3333,0.4167,0.1250,0.3333,0.5000
25,F,H,H,H,F,9,10,3,8,13,0.3600,0.4000,0.1200,0.3200,0.5200
26,H,H,H,F,F,9,10,3,9,14,0.3462,0.3846,0.1154,0.3462,0.5385
27,H,F,F,F,F,9,11,4,10,15,0.3333,0.4074,0.1481,0.3704,0.5556
