code_circo,nom,genre,HAMON
75_6,Nawel Oumer,F,0.14563679245283000
75_15,George Pau Langevin,F,0.13650190114068400
29_2,Patricia Adam,F,0.13434534469196100
75_16,Jean-Christophe Cambadelis,H,0.13213142191820700
75_5,Seybah Dagoma,F,0.13131808192755800
75_18,Myriam El Khomri,F,0.13131149313439300
75_17,Colombe Brossel,F,0.13042487754869600
78_11,Benoit Hamon,H,0.12766531713900100
35_8,Emmanuel Couet,H,0.1249926136027890
75_7,Patrick Bloche,H,0.11962788668308000
75_9,Jean-Marie Le Guen,H,0.1176227222851800
93_7,Razzy Hammadi,H,0.11671993027309700
35_1,Marie-Anne Chapdelaine,F,0.1161599287225750
75_8,Sandrine Mazetier,F,0.11290728486624900
33_2,Michèle Delaunay,F,0.11200537878937700
44_2,Alain Robert,H,0.1113015671813780
31_4,Martine Martinel,F,0.10952353067478700
29_4,Gwenegan Bui,H,0.10926351613577300
29_5,Chantal Guittet Raison,F,0.10857369742302400
29_1,Jean-Jacques Urvoas,H,0.10763450885756600
33_3,Naima Charai,F,0.10711832248356200
35_2,Gaelle Andro,F,0.10542137585797600
75_11,Pascal Cherki,H,0.10480017196620200
59_1,François Lamy,H,0.10428443248093300
44_3,Karine Daniel,F,0.1033664072899940
75_3,Annick Lepetit,F,0.1029549926435400
93_6,Elisabeth Guigou,F,0.10248438660687300
69_3,Jean-Louis Touraine,H,0.10158061116965200
92_11,Julie Sommaruga,F,0.10109754772340300
44_4,Dominique Raimbourg,H,0.10034453057708900
40_3,Boris Vallaud,H,0.09921019108280250
29_8,Michaël Quernez,H,0.09869453200339680
69_2,Hubert Julien-laferriere,H,0.0986890632334205
29_7,Florence Crom,F,0.09816737746461460
67_1,Eric Elkouby,H,0.0980334046021296
94_9,Luc Carvounas,H,0.09788023586823910
31_9,Christophe Borgel,H,0.09703070944893510
94_11,Jean-Yves Le Bouillonnec,H,0.09697751962998820
31_1,Catherine Lemorton,F,0.09671684993786080
34_2,Anne-Yvonne Le Dain,F,0.09495070487422830
14_1,Eric Veve,H,0.09393518437109850
22_1,Michel Lesage,H,0.09320669006813960
33_7,Bernard Garrigou,H,0.09312726076948370
38_3,Michel Destot,H,0.09310572136476260
22_4,Annie Le Houérou,F,0.09252586126557110
37_1,Jean-Patrick Gille,H,0.09206773793835930
56_5,Gwendal Rouillard,H,0.09205995052626470
69_6,Najat Vallaud Belkacem,F,0.0915494138757987
93_2,Mathieu Hanotin,H,0.09152357120257720
59_2,Audrey Linkenheld,F,0.08989803945765010
14_2,Laurence Dumont,F,0.08970087159503770
67_2,Philippe Ies,H,0.08918258762047220
76_1,Valérie Fourneyron,F,0.08899559823929570
999_4,Philip Cordery,H,0.08869372693726940
999_7,Pierre-Yves Le Borgn',H,0.08835498076815880
38_1,Olivier Veran,H,0.08819032475077980
92_10,Thomas Puijalon,H,0.08752202866455610
35_3,François Andre,H,0.08676292946034780
13_4,Patrick Mennucci,H,0.08675430222026390
86_2,Patricia Persico,F,0.08652500732159710
40_1,Renaud Lagrave,H,0.08643300101069340
76_3,Luce Pane,F,0.0858367456277984
63_1,Cécile Audet,F,0.08578932010504820
31_2,Gérard Bapt,H,0.08510502783333120
44_8,Laurianne Deniaud,F,0.08502676188630300
79_1,Elodie Truong,F,0.08483877371600350
32_1,Francis Dupouey,H,0.08479984047061170
94_6,Patrice Bedouret,H,0.08462627708330160
09_1,Martine Esteban,F,0.08445284697508900
64_1,Jérôme Marbot,H,0.0843715561200665
31_3,Isabelle Hardy,F,0.08430021181752080
91_6,Jérôme Guedj,H,0.08408007330216960
33_6,Marie Recalde,F,0.08398880149313420
87_1,Laurent Lafaye,H,0.08311861529600780
33_4,Alain David,H,0.08305045739600710
31_10,Kader Arif,H,0.08298489842097500
64_3,David Habib,H,0.08279314647432970
75_13,Isabelle Roy,F,0.08239688417826590
92_1,Alexis Bachelay,H,0.08214452629470540
95_10,Dominique Lefebvre,H,0.08187640992587820
54_1,Chaynesse Khirouni,F,0.08158606285316450
92_12,Jean-Marc Germain,H,0.0813658850500744
54_2,Hervé Feron,H,0.08075248345931270
64_5,Colette Capdevielle,F,0.08034896339830590
35_4,Franck Pichot,H,0.08004452132866660
33_1,Sandrine Doucet,F,0.08000760941937410
91_5,Maud Olivier,F,0.07995000892697730
44_5,Michel Menard,H,0.07993582095692600
69_4,Anne Brugnera,F,0.07972861006456450
31_6,Camille Pouponneau,F,0.0796272858202767
92_2,Chantal Barthelemy Ruiz,F,0.07961246076528110
87_3,Catherine Beaubatie,F,0.07957539248463190
94_7,Jean-Jacques Bridey,H,0.07941288677388910
76_4,Guillaume Bachelay,H,0.07926128305041730
95_5,Philippe Doucet,H,0.07902643010840000
92_13,Benjamin Lanier,H,0.07824311648181870
23_1,Michel Vergnier,H,0.078205292451353
78_1,Charlotte Rossettini,F,0.07815546076836260
59_11,Roger Vicot,H,0.07794868792717370
93_10,Daniel Goldberg,H,0.07792099270926900
49_1,Luc Belot,H,0.0774583601454589
92_4,Habiba Bigdade,F,0.07736658621614370
16_1,Martine Pinville,F,0.07722506897910920
999_3,Axelle Lemaire,F,0.07722292818628290
63_3,Alphonse Bellonte,H,0.07704135889403040
40_2,Christine Basly Lapegue,F,0.07658817209114920
22_2,Viviane Le Dissez,F,0.07650212333940000
56_2,Stéphanie Le Squer,F,0.07633784353200060
75_1,Pauline Veron,F,0.0758969440690527
65_1,Jean Glavany,H,0.07573016660344880
32_2,Gisèle Biemouret,F,0.07561617611868870
94_8,Sophie Gallais,F,0.07553682845798560
31_7,Marie-Caroline Tempesta,F,0.07544855273592390
31_8,Joel Aviragnet,H,0.07532942569745300
42_1,Régis Juanico,H,0.07517771532484710
69_7,Renaud Gauquelin,H,0.07497794133471070
81_2,Claire Fita,F,0.07465339076807190
974_1,Ericka Bareigts,F,0.07461293743372220
38_5,Eliane Giraud,F,0.07458139304468440
67_3,Serge Ehler,H,0.07450676982591880
64_2,Nathalie Chabanne,F,0.07381632906673290
77_10,Juliette Meadel,F,0.07378711801283540
09_2,Alain Faure,H,0.0731395060708681
75_2,Marine Rosset,F,0.07277025714100650
63_4,Sylvie Maisonnet,F,0.07270538591972250
38_2,Pierre Verri,H,0.07258728307840040
25_1,Barbara Romagnan,F,0.07226916895640000
33_9,Gilles Savary,H,0.0721133530530319
93_8,Elisabeth Pochon,F,0.0717137626011956
41_1,Denys Robiliard,H,0.0716877267609158
64_6,Sylviane Alaux,F,0.07157294635916040
79_2,Delphine Batho,F,0.07111620158267390
999_1,Yan Chantrel,H,0.0709289084106068
46_2,Vincent Labarthe,H,0.0708443296460591
35_6,Evelyne Gautier Le Bail,F,0.07080870330776000
87_2,Annick Morizio,F,0.07077351700653950
77_11,Olivier Faure,H,0.07072207749918590
21_1,Sladana Zivkovic,F,0.07033450224394500
63_2,Christine Pires Beaune,F,0.07031170603522120
71_5,Christophe Sirugue,H,0.0701313090478971
92_5,Lies Messafta,H,0.07006546389067360
44_10,Sophie Errante,F,0.06994609999380460
95_4,Gérard Sebaoun,H,0.06982226122266380
13_5,Marie-Arlette Carlotti,F,0.06963964308964880
24_4,Benjamin Delrieux,H,0.06914863487028440
974_5,Philippe Leconstant,H,0.06914791766395400
78_10,Jean-Claude Husson,H,0.0688781763215949
26_1,Jean-Pierre Veyret,H,0.06881502688359750
38_4,Marie-Noelle Battistel,F,0.06879104010915600
35_7,Alexandra Thierry,F,0.06870277397433950
33_12,Catherine Veyssy,F,0.06863893047177220
45_1,Olivier Jouin,H,0.06856382093526380
92_8,Catherine Lime Biffe,F,0.06838219858652300
11_3,André Viola,H,0.06830201417801280
37_4,Laurent Baumel,H,0.06814906032661170
78_12,Noelle Bas Marie,F,0.06810887264946420
94_1,Laurence Vagnier,H,0.06780187131391070
95_6,Guyslaine Pestie,F,0.0677414300388238
69_14,Yves Blein,H,0.06753480917559850
35_5,Stéphane Lenfant,H,0.06747732367048770
24_1,Michel Moyrand,H,0.0672318379842223
45_6,Valérie Corre,F,0.0671701667480639
71_1,Catherine N'diaye,F,0.0670039728492277
49_7,Sylvie Camara Tombini,F,0.06683254070737930
75_12,Florian Sitbon,H,0.06680210135381780
94_5,Caroline Adomo,F,0.06679989420166340
92_3,Isabelle Dahan,F,0.06627314602971230
34_3,Fanny Dombre Coste,F,0.06619218109372290
91_10,Malek Boutih,H,0.06596375043569190
26_3,Pascale Rochas,F,0.06595413100111650
95_2,Ayda Hadizadeh,F,0.06594968890078280
11_1,Alain Ginies,H,0.0658575407879029
12_2,Bertrand Cavalerie,H,0.06555673040735500
91_3,Michel Pouzol,H,0.06553171641791040
31_5,Sandrine Floureusses,F,0.06546986582322270
58_1,Gaetan Gorce,H,0.06534422403733960
57_3,Nathalie De Oliveira,F,0.06517380272193340
19_1,Bernard Combes,H,0.06510989757383110
58_2,Christian Paul,H,0.06508801603708580
44_6,Yves Daniel,H,0.06499664504585100
77_8,Eduardo Rihan Cypel,F,0.06496283328071640
78_2,Amroze Adjuward,H,0.06491210841598740
95_3,Nelly Leon,H,0.0648803908592991
81_1,Patrice Bedier,H,0.06484111087859850
91_4,Ophélie Guin,F,0.06483138509182750
78_4,Monika Belala,F,0.06470533325035780
78_8,Françoise Descamps Crosnier,F,0.06464906632324530
974_3,Jean-Jacques Vlody,H,0.06436201204117300
95_9,Luc Broussy,H,0.06430689030820350
93_5,Valérie Mery Fritz,F,0.06429692808772880
59_4,Philippe Harquet,H,0.06405689323417750
62_2,Jacqueline Maquet,F,0.06394702928498420
91_9,Romain Colas,H,0.0638232487424588
21_2,Pierre Pribetich,H,0.06341337082392990
71_3,Philippe Baumel,H,0.06339888929322970
37_3,Marisol Touraine,F,0.06337703574720880
999_9,Didier Le Bret,H,0.0631485670312245
69_12,David Chizat,H,0.06311315629693540
49_6,Serge Bardy,H,0.06261805939270890
82_1,Valérie Rabault,F,0.06249566291479880
