code_circo,candidat,genre,LE PEN
02_3,Paul-Henry HANSEN-CATTA,H,0.3997819475526480
62_3,José EVRARD,H,0.399403435164547
62_10,Ludovic PAJOT,H,0.3977790518724160
59_19,Sébastien CHENU,H,0.39359260009452400
52_2,Frédéric FABRE,H,0.39251373626373600
59_20,Ludovic de DANNE,H,0.3758966007138150
13_12,Jean-Lin Lacapelle,H,0.37292930430254300
59_16,Hortense de MÉREUIL,F,0.37057996087244700
80_5,Loïc GRIMAUX,H,0.36670440963703800
59_3,Sylvie GODDYN,F,0.3643524482151050
59_12,Gérard PHILIPPE,H,0.3602151298563440
62_7,Philippe OLIVIER,H,0.3587637274607470
59_18,Mélanie DISDIER,F,0.3562692017854040
02_4,Jean MESSIHA,H,0.3550762667388990
51_5,Thomas LAVAL,H,0.35203507799638100
62_1,Agnès CAUDRON,F,0.35121420375912300
60_2,Gaëtan DUSSAUSAYE,H,0.35006691534497
60_1,Claire MARAIS-BEUIL,F,0.3469023803985420
66_2,Louis ALIOT,H,0.3420194133219240
84_4,Catherine CANDELA,F,0.33764156467345500
57_4,Marie-Amélie DUTHEIL DE LA ROCHÈRE,F,0.33710569919029600
57_6,Florian PHILIPPOT,H,0.33678093186759600
57_7,Kevin PFEFFER,H,0.3359662903202130
80_3,Patricia CHAGNON,F,0.33328345030902500
83_6,Jérôme RIVIÈRE,H,0.3326849294457760
62_6,Marie-Christine BOURGEOIS,F,0.3318593615185500
88_2,Isabelle GÉRARD,F,0.33103828636493000
59_13,Philippe EYMERY,H,0.32971637301246200
80_4,Eric RICHERMOZ,H,0.32944139872573700
70_2,Maurice MONNIER,H,0.32942940798400300
67_8,Gérard JANUS,H,0.3293397701774670
62_8,Karine Haverlant,F,0.32933864096654800
59_17,Thibaut FRANÇOIS,H,0.32887299781497700
83_8,Pierre JUGY,H,0.32795233860061600
987_1,Eric MINARDI,H,0.3272357022055020
08_3,Amandine Blomme,F,0.32705440212658700
57_5,Pascal Jenft,H,0.3269628006394480
77_4,Pierre-Charles CHERRIER,H,0.3269485288770600
59_14,Jean-Paul Tisserand,H,0.32616221878712800
02_2,Sylvie SAILLARD-MEUNIER,F,0.3261549395877750
13_16,Valérie LAUPIES,F,0.3252203525641030
55_1,Corinne KAUFMANN,F,0.32434965632913500
68_4,Alain FAVALETTO,H,0.323573845404717
08_1,Sophie Lorenzo,F,0.3227451397004140
55_2,Eric VILAIN,H,0.3217970625770590
54_4,Dominique BILDE,F,0.3192667033053310
67_7,Virginie JORON,F,0.318645323847636
62_9,Jacques DELAIRE,H,0.3176459140813780
60_7,Philippe LAMBILLIOTTE,H,0.31427889288698600
83_4,Philippe Lottiaux,H,0.3133382783905050
76_6,Françoise DUCHAUSSOY,F,0.3133189680274880
54_5,Billy WINKENS,H,0.31312985660498300
83_2,Rachel ROUSSEL,F,0.313111431862252
89_3,Julien ODOUL,F,0.3108045703049350
30_4,Brigitte ROULLAUD,F,0.3077169165716190
60_6,Michel GUINIOT,H,0.30595314996770100
59_21,Valérie CAUDRON,F,0.30342347716577200
54_6,Cédric Marsolle,H,0.30200989161317500
88_4,Jordan Grosse-Cruciani,H,0.30139728168665100
84_2,Thibaut de LA TOCNAYE,H,0.30130157431398400
27_5,Vincent TAILLIEU,H,0.300836820083682
60_5,François GACHIGNARD,H,0.29968566303788000
45_4,Ludovic Marchetti,H,0.29961089494163400
11_2,Jean-François Daraud,H,0.29825983172970700
59_15,Christine ENGRAND,H,0.2981473728281350
06_2,Jérôme Cochet,H,0.2979259170962840
70_1,Léonie CUGNOT,F,0.297639086710691
76_10,Stacy BLONDEL,F,0.2967245136450370
60_3,Philippe MURER,H,0.2958112369213130
10_2,Jean-Christophe LEFÈVRE,H,0.29551968880092800
66_4,Stéphane MASSANELL,H,0.29547592236868300
51_3,Baptiste PHILIPPO,H,0.2933179760881200
89_2,Edwige JACQUET,F,0.2921627927071630
82_2,Romain LOPEZ,H,0.29057633649060800
11_1,Christophe Barthès,H,0.2901180527921470
974_3,Jean-Hugues LEBIAN,H,0.2896290541852790
62_5,Antoine GOLLIOT,H,0.2889828253865030
80_1,Franck de LAPERSONNE,H,0.2880717687451540
76_9,Geneviève SALVISBERG,F,0.2859370045449740
83_7,Frédéric Boccaletti,H,0.2857451953671890
2A_1,Francis Nadizi,H,0.28455213179995900
51_4,Thierry BESSON,H,0.2837198492670860
41_2,Mathilde Paris,F,0.282987368885249
67_9,Laurent Gnaedig,H,0.28298122878714400
38_10,Alain BREUIL,H,0.28275060234213000
