code_circo,nom,genre,FILLON
75_14,Claude Goasguen,H,0.5700162866449510
75_4,Brigitte Kuster,F,0.5441039768790030
92_9,Thierry Solere,H,0.44039759661746200
92_9,Thierry Solere,H,0.44039759661746200
976_2,Mansour Kamardine,H,0.3869327289812610
976_2,Mansour Kamardine,H,0.3869327289812610
75_12,Philippe Goujon,H,0.3851476820035870
75_12,Philippe Goujon,H,0.3851476820035870
999_10,Alain Marsaud,H,0.38104428672228400
999_10,Alain Marsaud,H,0.38104428672228400
75_2,Nathalie Kosciusco-Morizet,F,0.3733726277608650
92_7,Eric Berdoati,H,0.3711383420195900
92_7,Eric Berdoati,H,0.3711383420195900
75_1,Pierre Lellouche,H,0.34395570861851000
75_1,Pierre Lellouche,H,0.34395570861851000
988_1,Bernard Deladrière,H,0.34328542805550700
988_1,Bernard Deladrière,H,0.34328542805550700
06_8,Bernard Brochand,H,0.3311726859948340
06_8,Bernard Brochand,H,0.3311726859948340
92_8,Jean-Jacques Guillet,H,0.32882583444125700
92_8,Jean-Jacques Guillet,H,0.32882583444125700
78_1,François-Xavier Bellamy,H,0.32601908447297800
78_1,François-Xavier Bellamy,H,0.32601908447297800
13_2,Dominique Tian,H,0.3241251709436090
13_2,Dominique Tian,H,0.3241251709436090
69_5,Philippe Cochet,H,0.32312119406455700
69_5,Philippe Cochet,H,0.32312119406455700
977_1,Daniel Gibbs,H,0.32015257469802900
977_1,Daniel Gibbs,H,0.32015257469802900
92_3,Jacques Kossowski,H,0.318888990573808
92_3,Jacques Kossowski,H,0.318888990573808
72_4,Emmanuel Franco,H,0.3142883962515060
72_4,Emmanuel Franco,H,0.3142883962515060
78_6,Pierre Morange,H,0.3121402938587580
78_6,Pierre Morange,H,0.3121402938587580
75_13,Jean-François Lamour,H,0.31145447580130300
75_13,Jean-François Lamour,H,0.31145447580130300
06_7,Jean Leonetti,H,0.31030222391180400
06_7,Jean Leonetti,H,0.31030222391180400
78_5,Jacques Myard,H,0.30986614631474400
78_5,Jacques Myard,H,0.30986614631474400
999_6,Claudine Schmid,F,0.30752168694833100
92_5,Arnaud de Courson,H,0.30512771536230900
92_5,Arnaud de Courson,H,0.30512771536230900
