code_circo,TG,SG,Titulaire,Suppléant
92_1,H,,AbdelNasser Lajili, 
62_5,H,,Alain Berthault, 
85_3,H,,Alain DARMEY, 
76_2,H,,Alain Ninauve, 
67_4,H,,Albert Schwartz, 
73_3,H,,Alexandre Roux, 
91_9,F,,ANNE JOURNEL, 
33_2,F,,Aude Darchy, 
86_4,,,Aurélie Saulnier, 
59_3,H,,Aurélien Motte, 
69_14,H,,Benjamin Nivard, 
21_3,H,,Boris Obama, 
57_5,F,,Brigitte BLANG, 
44_6,F,,Brigitte Maillet, 
06_3,H,,Bruno COULET, 
62_9,H,,Bruno Debout, 
63_4,F,,CATHERINE MOLLET, 
41_3,F,,Cécile Rivière, 
47_1,F,,Céline Boussié, 
77_3,F,,Chantal Thomas, 
68_2,F,,Christelle Rillet, 
88_3,F,,Christine Bourbon-Schmitt, 
33_12,H,,Christophe Miqueu, 
77_11,H,,Daniel Allioux, 
34_6,H,,David Garcia, 
77_9,,,Delphine Heuclin, 
974_5,F,,Denise Delavanne, 
14_3,H,,Didier Canu, 
59_13,H,,Elio Berte-Langereau, 
21_5,F,,Elisabeth Kremer, 
35_8,F,,Enora Le Pape, 
93_1,H,,Eric Coquerel, 
83_4,H,,Eric Habouzit, 
14_2,H,,ETIENNE BRASSELET, 
34_4,H,,Etienne Hayem, 
94_2,H,,François Cocq, 
33_9,H,,François Papiaud, 
08_1,F,,Françoise Verlhac, 
37_2,H,,Frédéric Nobileau, 
68_4,H,,Gabriel WEISSER, 
49_3,H,,Georges Chabrier, 
92_10,H,,Gérald Dahan, 
13_16,H,,Gérard GERON, 
62_12,H,,Grégory Frackowiack, 
30_5,H,,Guillaume Roiron, 
55_1,H,,Guy JEANNESSON (Titulaire), 
27_3,H,,Gwenhael Lavergne, 
24_1,F,,Hélène Reys, 
75_7,H,,Jean-Charles Lallemand, 
13_4,H,,Jean-Luc Mélenchon, 
57_9,H,,Jean-Luc Pierré, 
28_2,H,,Jean-Michel DEJENNE, 
33_7,F,,Johanne Sebaux, 
57_6,H,,Jonathan Outomuro, 
93_12,H,,Juan Branco, 
77_4,F,,Julie Garnier, 
28_1,H,,Julien Morainnes, 
26_1,F,,Karine Messina, 
57_7,F,,Katia Donaté, 
94_7,H,,Kévin DALLA FRANCESCA, 
51_5,F,,Laurène Massicard, 
95_1,F,,Leïla Saïb, 
67_9,H,,Leila Witzmann, 
59_5,F,,Lucile Caplier, 
78_8,H,,Majid Eddaïkhane, 
11_1,F,,Marine Toro, 
33_5,F,,Martine Calvo, 
78_11,H,,Mathurin Levis, 
55_2,H,,Michaël Clément, 
13_8,F,,Nadia GRAINDORGE, 
37_4,F,,Nadia Vezin, 
62_6,F,,Nadine Demarey, 
78_6,,,Nelly Pascaud, 
92_7,F,,Olfa Mzoughi, 
63_2,H,,Pascal Estier, 
28_3,F,,Pascale Certain, 
29_5,F,,Pascale Marchand, 
54_3,H,,Patrice Zolfo, 
83_8,F,,Patricia Massis Callet, 
59_8,H,,Paul-Vincent Zilmia, 
89_2,H,F,Philippe Collin, 
24_3,H,,Philippe Guillerme, 
12_1,H,,Pierre-Arnaud Defontaines, 
29_7,H,,Roland JAOUEN, 
63_5,F,,Sara Perret, 
62_4,F,,Sarah Regnier, 
64_1,F,,Séverine Ghedjati, 
08_3,F,,Sophie Perrin, 
28_4,F,,Sophie Sinatti, 
78_5,,,Sophie THEVENET, 
14_4,H,,Stéphane Poussier, 
78_1,H,,Thibaut Marchal, 
64_2,H,,Thierry Moutou, 
16_3,F,,Véronique Bachelier Gregori, 
35_3,F,,Virginie Abautret, 
92_6,H,F,Josué Hantoni de Biasi,Adeline Chenon Ramlat
31_3,H,F,Gilles Naudy,Agathe Roby
75_9,H,F,Raphaël Qnouch,Agnès Falabrègues
59_1,H,F,Adrien QUATENNENS,Agnès Pinson
56_1,F,H,Céline Marie Lorène Meneses Delgado née Aumont,ALAIN BOUXIN
77_6,F,H,Valérie Delage,Alban Corbin
14_1,F,H,Karinne GUALBERT,Alexandre Besselievre
71_4,F,H,Michèle Chambon,Alexandre Guechi
44_1,F,H,Sylvie Clabecq,Ali LOTF
72_2,H,F,Matthias Tavel,Alima Arouali
60_1,H,F,Fabien Navez,Alizé Piquant
94_8,H,F,Renaud Pequignot,Amélie Bellaud
2B_2,H,H,Jean Moghraoui,Amélie Raffeali
90_2,H,F,Laurent Soler,Anastasia Sivan
50_4,F,H,Yvonne Pecoraro,André JACQUES
10_2,F,H,Elise Géhin,André Smolarz
22_2,H,F,Didier GIFFRAIN,ANDREE  CLAIRE BAZIN
59_2,H,F,Ugo Bernalicis,Anne Cliche dite Conti
47_3,H,F,Rémy GARNIER,Anne Colas
13_5,H,F,Hendrik Davi,Anne Mandine
79_3,H,F,Philippe Cochard,Anne Maugard
34_5,H,F,Serge Azaïs,Anne Roux
78_2,H,F,Marc Soriano,Anne Theunissen
85_2,H,F,Dominique Chevolleau,Anne-Lise Redais
68_1,F,F,Guillaume Pernot,Anne-Marie Salomon
34_1,H,F,Julien Colet,Anne-Rose Le Van
62_7,H,F,Jean-Philippe Lannoy,Anne-Sophie LIGNIERT
14_6,H,F,Paul Demeilliers,Annie Lepinette
29_8,H,F,Emmanuel Magnan,Annie Perron
84_5,H,F,Stéphane CHOTARD,Annie Roiron
13_7,H,F,Ouali BRINIS,Armelle Rioualen
34_7,F,H,Marie-Hélène LECLERCQ,Arnaud CAMBON
85_4,F,H,Anita LAVERGNE,Arnaud Perherin
30_6,F,H,Karine VOINCHET,Arnaud VALENTIN
84_2,H,F,Laurent Thérond,Aurélia MARIE-SAINTE
78_3,H,F,Alexandre Langlois,Aurélie Dambry
38_7,F,H,Valérie Bono,Aurélien Delsaux
69_2,F,H,Eleni Ferlet,Basile Marti
02_2,F,H,Sarah Lempereur,Bastien Blanchart
64_6,F,H,Christine Labrousse,BENITO ZUBELDIA (suppléant de Christine LABROUSSE)
52_1,F,H,Ariane Walaszek,Benjamin MOREL
29_1,F,H,Jugdeep Harvinder,Benjamin Toutant
30_2,F,H,Danielle FLOUTIER,Benoît Ode
15_1,H,F,Thierry Bonhoure,Benoite Favre
40_2,F,H,Caroline Dacharry,Bertrand Lataillade
92_3,F,H,Virginie Kenler,Bertrand Perrotte
29_3,F,H,Christine Panaget,Bertrand SEYS
95_4,F,H,Cathy Pinheiro,Brice Errandonea
69_10,H,F,Olivier Daudé,Brigitte Bonnetain
80_2,H,F,Cédric Maisse,Brigitte Devauchelle
69_12,H,F,Eloi Navarro,Brigitte Gillet Chanel
21_4,H,F,Stéphane GUINOT,Brigitte Mindus
56_3,H,F,Marie-Madeleine Dore Lucas,Bruno BRAVO
49_6,F,H,Maryline Fonteneau-Grelet,Bruno Ciofi
42_2,F,H,Andrée TAURINYA,Bruno DOLIK
76_4,F,H,Laura THIEBLEMONT,Bruno Guilliot
39_2,F,H,Julie Lançon,Bruno Ragot
66_1,H,F,Alain Mih,Carole Gohier
76_9,H,F,Rachid Chebli,Carole Soter
49_4,F,F,France Moreau,Caroline Bessat
35_1,H,F,Patrick Bergogné,caroline Frydman
59_4,H,F,Jean-Pierre HOUBRON,Cassandre Defosse
44_4,H,F,Vincent EGRON,Catherine Chastan
54_1,H,F,Nordine Jouira,Catherine Cluzeau
29_2,H,F,Pierre-Yves Cadalen,Cécile Beaudouin
91_6,H,F,Philippe Juraver,Cécile MUNCH
27_1,H,F,Michaël DESPRÉS,Cécile Soulignac
86_2,H,F,Frédéric Abrachkoff,Cécile THOBIE
60_7,F,H,Marie-Laure Darrigade,Cédric Dufourt
01_4,F,H,Line HUGUET,Cédric Raffin
35_7,H,F,Nicolas CHEVALLIER,Céline Coucaud
69_6,H,F,Laurent Legendre,Céline Fratczak
