code_circo,Exprimés,POUTOU,MÉLENCHON,ARTHAUD,LASSALLE,DUPONT-AIGNAN,ASSELINEAU,MACRON,LE PEN,FILLON,CHEMINADE,HAMON
01_1,64890,614,10221,401,732,4106,622,14403,16500,13460,119,3712
01_2,74756,588,11711,382,598,4507,788,17395,19319,15714,129,3625
01_3,57446,592,9695,272,614,2979,812,14550,10700,13888,106,3238
01_4,71203,637,9739,414,699,4818,570,15692,19428,15749,136,3321
01_5,57503,667,10370,373,822,3378,820,11652,15508,10993,105,2815
02_1,56349,627,9282,608,466,2859,421,10470,20175,8761,97,2583
02_2,56280,614,10080,481,399,2773,343,10920,18356,9824,92,2398
02_3,52281,593,7987,543,443,2625,354,7977,20901,8651,99,2108
02_4,59069,630,10755,532,431,2891,503,10746,20974,8990,109,2508
02_5,64220,692,10855,600,526,3504,550,11580,22381,10759,139,2634
03_1,68974,835,14043,594,904,3525,473,16276,15318,12923,134,3949
03_2,63230,801,14149,547,1003,3061,492,14785,13736,10933,114,3609
03_3,60589,692,10132,402,1081,3233,518,14683,14017,12643,107,3081
04_1,48644,615,10737,279,899,2387,457,9565,12815,8346,106,2438
04_2,51069,563,11711,242,822,2473,475,10395,11648,10096,99,2545
05_1,45614,533,9528,234,767,2550,465,10204,10302,8255,66,2710
05_2,41313,516,9268,177,842,2388,318,8744,8172,8390,99,2399
06_1,59842,347,10658,188,491,1952,636,12581,14144,16070,74,2701
06_2,67114,511,10998,251,795,3238,693,12398,19995,15531,155,2549
06_3,67103,412,11895,218,572,2588,731,13254,18031,16533,97,2772
06_4,65930,475,9820,237,730,2939,711,10584,21772,16561,104,1997
06_5,68079,381,10591,184,699,2908,688,12489,20800,16904,82,2353
06_6,61691,324,7510,138,479,2988,616,11529,18287,17858,100,1862
06_7,73654,445,9857,183,617,3282,775,16064,16532,22855,131,2913
06_8,62327,338,8183,161,403,2400,614,11025,16682,20641,106,1774
06_9,62180,389,8429,169,476,2880,603,12019,16897,18082,90,2146
07_1,61074,795,13663,405,1134,2876,705,12951,15434,9196,112,3803
07_2,74367,915,13646,521,1171,4575,680,17190,17029,14162,132,4346
07_3,61632,913,15571,391,1276,2543,600,12562,13125,10824,132,3695
08_1,56478,606,9044,495,520,3235,447,10616,18228,10532,108,2647
08_2,46687,565,9969,421,400,2191,344,8439,15078,6586,95,2599
08_3,43638,522,7159,462,486,2384,289,7857,14272,8155,64,1988
09_1,44960,621,12576,278,1569,1517,380,9776,9129,5254,63,3797
09_2,48428,562,12424,279,1736,1854,419,9753,11135,6647,77,3542
10_1,51435,470,6153,396,386,3569,399,8811,17094,12238,105,1814
10_2,58612,475,7867,394,406,3687,436,11739,17321,13802,94,2391
10_3,51021,442,8476,317,367,2979,482,10015,14431,11082,90,2340
11_1,75390,913,16170,441,1509,2851,516,15334,21872,10702,117,4965
11_2,67867,736,14396,370,1149,2617,590,13087,20242,10779,108,3793
11_3,71096,858,15557,384,1984,2797,677,14591,18470,10799,123,4856
12_1,62573,702,10735,344,2137,3182,432,16796,9304,15100,120,3721
12_2,55799,726,12306,381,1930,2574,464,14834,8827,10010,89,3658
